Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
heartburn relief,2021-08-29,200mg,Meclizine HCl,708
Etodolac,2020-12-07,20mg,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),722
Antiperspirant Sandalwood,2021-09-15,15mg,Aspirin,432
Banana Boat Protective Dry SPF 6,2021-10-16,15mg,Antiseptic Mouth Rinse,679
Dandruff,2021-06-13,15mg,RINKEL MOLD MIX A,19
Loratadine,2021-05-20,500mg,INSTANT HAND SANITIZER,469
Anti-Perspirant Deodorant,2021-10-06,100mg,Baza Cleanse and Protect,575
Iman Skin Tone Evener BB SPF 15,2021-01-27,100mg,Hydrocortisone,199
Lorazepam,2021-07-18,50mg,Mitoxantrone,596
Desmopressin Acetate,2021-06-01,200mg,Adderall,997
Prednisolone,2020-12-29,10mg,Dexamethasone sodium phosphate,556
Sodium Bicarbonate,2021-06-12,10mg,TOBI Podhaler,475
Curity Povidone-Iodine Scrub,2021-10-08,15mg,Thyreoidea Belladonna,54
Treatment Set TS345048,2021-09-25,25mg,Furosemide,869
Vanilla Fig Hand Sanitizer,2021-06-15,5mg,Oxybutynin Chloride,450
Omeprazole,2021-07-03,25mg,Benadryl Extra Strength,833
ESIKA TRIPLE ACCION MAX BB,2021-09-23,25mg,Ranitidine,212
DOK,2021-08-26,25mg,INSTANT Hand Sanitizer with Moisturizers All In One,319
Alcohol-Free Anticavity,2021-02-06,100mg,Ionosol and Dextrose,517
Calcium Carbonate,2021-10-31,25mg,4 Kids Complete Cold and Mucus,86
Box Elder,2021-11-26,20mg,Leader Stool Softener plus Stimulant Laxative,357
Omnicide Antimicrobial,2021-06-22,200mg,Treatment Set TS332594,768
CARMEX Vanilla BROAD SPECTRUM SPF 15 SUNSCREEN,2021-10-03,15mg,Parsnip,681
Cefuroxime,2021-07-10,200mg,PUSSY WILLOW POLLEN,521
Spasmodic Cough,2021-03-22,15mg,Sisal,193
Rock Water,2021-01-25,20mg,Natrum Muriaticum Kit Refill,447
EltaMD UV PhysicalSPF 41,2021-06-05,20mg,Enoxaparin Sodium,364
Naturasil,2021-08-07,10mg,Sunmark Nicotine,978
Hydrochlorothiazide,2021-10-21,200mg,Cold Sore Treatment,47
Cefaclor,2021-07-06,200mg,Loratadine OD,110
Vida Mia Hand Sanitizer Aloe Vera,2021-04-06,500mg,Diovan HCT,786
Premarin,2021-10-09,100mg,SHISEIDO RADIANT LIFTING FOUNDATION,783
ALMOST POWDER,2021-05-10,50mg,GLIMEPIRIDE,941
SUBSYS,2021-07-03,200mg,Ropinirole,126
Naproxen Sodium,2021-04-08,200mg,NUCYNTA,848
Monistat 3,2021-10-30,10mg,Bekunis Natures Gentle Laxative Instant Tea,800
Ibuprofen,2021-08-29,500mg,ADVENTURE MEDICAL KITS 1-2 PERSON FIRST AID,755
ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,2021-02-07,50mg,CLE DE PEAU BEAUTE UV PROTECTION,595
Risperidone,2021-11-09,20mg,Superdent,331
Cytarabine,2021-01-04,50mg,Ampicillin and Sulbactam,261
Hydrocodone Bitartrate and Acetaminophen,2021-11-07,200mg,Diclofenac Sodium,142
LISINOPRIL AND HYDROCHLOROTHIAZIDE,2021-11-11,50mg,Oxybutynin Chloride,629
CLARINS BB Skin Perfecting Broad Spectrum SPF 25 Sunscreen 02 Medium,2021-04-08,5mg,BENZTROPINE MESYLATE,906
Mekinist,2021-11-06,25mg,Hamamelis e cortex 3,367
Mustela 50 Sunscreen,2021-08-09,5mg,CEFDINIR,504
Chlordiazepoxide Hydrochloride,2020-12-14,10mg,Senna laxative,516
Parsnip,2021-10-15,25mg,tizanidine,505
AMARANTHUS RETROFLEXUS POLLEN,2021-11-13,10mg,ALNUS INCANA SSP RUGOSA POLLEN,488
Naloxone Hydrochloride,2021-03-08,5mg,Amiloride Hydrochloride and Hydrochlorothiazide,604
Oxcarbazepine,2021-11-04,10mg,Complete,497
Leader Maximum Strength Invisible Acne,2021-01-03,50mg,SHISEIDO THE SKINCARE TINTED MOISTURE PROTECTION,95
Fluoxetine Hydrochloride,2021-01-19,500mg,Clonidine Hydrochloride,889
Skin Care Prescription,2021-05-23,100mg,ONE TOUCH ADVANCED TOPICAL ANESTHETIC,35
Sumatriptan,2020-12-07,25mg,BSS,631
Bioelements,2021-07-25,25mg,Olive Oil and Lemon Antibacterial Foaming Hand Wash,794
Loratadineantihistamine,2021-08-04,5mg,Safety Coated Enteric Aspirin,140
Koelers Grass Pollen,2021-09-10,5mg,Se-Natal One,582
ExeFen IR,2021-09-01,500mg,Peptic Relief,771
Propranolol Hydrochloride,2021-09-26,5mg,Gemcitabine,49
Manderin Orange Antibacterial Foaming Hand Wash,2021-09-22,5mg,NITROGEN,682
Hydralazine Hydrochloride,2021-02-07,25mg,LidoPro,680
Paroxetine,2021-10-12,500mg,Escitalopram,662
SPF 30 Sunscreen Tottle w Carabiner,2021-09-19,15mg,in control nicotine,559
Amoxicillin,2021-06-30,100mg,Duloxetine,118
Oxygen,2021-02-13,500mg,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,48
ECZEMA HP,2020-12-20,25mg,Preferred Plus 12 Hour Nasal,337
sumatriptan succinate,2021-10-24,500mg,Gadavyt,303
Levothyroxine Sodium,2021-01-22,500mg,Naratriptan,73
ASMANEX,2021-06-07,10mg,Lyrica,148
Sufentanil Citrate,2021-11-21,25mg,SALIX NIGRA POLLEN,968
isosorbide mononitrate,2021-07-27,50mg,Oxygen,575
Lipitor,2021-11-29,15mg,Artificial Tears,107
OXYGEN,2021-10-27,10mg,Granisetron,882
Arizona Ash,2021-08-10,50mg,Chloraseptic Sore Throat,197
Rouge Dior 660 Garnet Serum,2021-12-01,100mg,Topcare Cold and Flu,743
care one aspirin,2021-01-12,5mg,SHISEIDO SHEER MATIFYING COMPACT (REFILL),310
Burrobrush,2021-06-27,10mg,Triton AB-741,177
LBEL,2021-08-26,20mg,Dextroamphetamine Sulfate,572
TAZICEF,2021-06-10,25mg,FACE VALUES BACITRACIN,217
Ondansetron Hydrochloride,2021-08-09,5mg,Antiseptic,375
HZ Formula,2020-12-09,25mg,Clotrimazole and Betamethasone Dipropionate,725
Adalat CC,2021-07-08,15mg,Red Oak,918
Sodium Chloride,2021-03-19,200mg,Methotrexate,659
Ruby-Cell 4U,2021-11-24,10mg,Glycopyrrolate,615
SARAH CHAPMAN London SKINESIS Dynamic Defence Concentrate Anti-Ageing Day Cream SPF 15,2021-03-12,20mg,DOCETAXEL,815
Levothyroxine Sodium,2021-04-19,10mg,Adult Long Lasting-Cough Relief,638
Equate Acne Treatment Body Pads,2021-07-19,20mg,Stool Softener plus Stimulant Laxative,754
HYDROCHLOROTHIAZIDE,2021-11-21,15mg,SHISEIDO SUN PROTECTION FOUNDATION,519
Nevirapine,2021-04-20,10mg,Eucerin Everyday Protection Face,234
Fresh Med Solution,2021-06-18,500mg,SIMVASTATIN,811
Clopidogrel,2021-09-18,200mg,HealthMart Chest Congestion Relief,509
Pacific Anti-bacterial Hand Cleanse Strawberry Essence,2020-12-11,50mg,Deferoxamine,395
Gilotrif,2021-10-20,100mg,Pediatric Cough and Cold Medicine,238
benazepril hydrochloride and hydrochlorothiazide,2021-07-28,25mg,White Hickory,974
First Degree Burn,2021-01-10,5mg,Western Juniper,983
WhiskCare 375,2021-09-24,20mg,Ranitidine,958
SUN PREMIUM FACE 50 SPF,2021-12-03,25mg,Neutrogena MoistureShine SPF20,690
OXYGEN,2021-04-09,50mg,Stop Smoking Aid,280
Lamotrigine,2021-07-06,50mg,Hydroxyzine Pamoate,865
Prempro,2021-05-31,10mg,Academy Sport SPF 30,249
Glycopyrrolate,2020-12-29,5mg,Amlodipine Besylate and Benazepril Hydrochloride,344
Methocarbamol,2021-08-24,500mg,Metformin Hydrochloride,45
Olanzapine,2021-11-16,50mg,Echinacea e rad. 50,633
Amoxicillin,2021-06-05,20mg,"Food - Plant Source, Brazil Nut Bertholletia excelsa",87
Magnesium Sulfate,2021-10-04,10mg,Halobetasol Propionate,183
Headache,2021-01-12,25mg,Antacid Antigas,607
Ketoconazole,2021-09-16,20mg,Nifedipine,675
XtraCare Foam Antibacterial Hand Wash,2021-04-02,50mg,Cleocin Phosphate,940
PNV Prenatal Vitamin,2021-11-04,50mg,Lobelia Quercus,613
LOreal Paris true match super blendable makeup broad spectrum spf 17,2021-08-12,15mg,Povidone-Iodine,64
Preferred Plus Body Powder,2021-01-02,25mg,STAHIST AD,29
Gas Relief,2021-07-08,100mg,Levothyroxine Sodium,967
Nabumetone,2021-07-22,15mg,Topcare Day Time Nite Time Cold and Flu,674
allergy,2021-12-04,100mg,Venlafaxine Hydrochloride,815
ZOLPIDEM TARTRATE,2021-06-07,10mg,Glimepiride,659
ESIKA,2021-05-10,5mg,Diclofenac Sodium,534
Sumatriptan Succinate,2021-12-01,20mg,Ludens Honey Lemon Throat Drops,532
PrismaSol,2021-06-07,500mg,Glipizide,35
napoleon PERDIS ADVANCED MINERAL MAKEUP BROAD SPECTRUM SPF 15 Look 2,2020-12-06,50mg,LANEIGE SATIN FINISH TWIN PACT NO. 25,310
Sodium Sulfacetamide and Sulfur,2021-04-24,200mg,Healing Waters Vanilla Orchid Anti-Bacterial Hand Sanitizer,480
chlorpromazine hydrochloride,2020-12-29,5mg,Rabbit Epithelium,225
Carbamazepine,2021-10-26,25mg,Alba Natural Acnedote Astringent,657
Antibacterial,2021-02-15,100mg,Hand Sanitizer,421
Albuterol Sulfate,2021-08-06,10mg,Well at Walgreens,848
Natural SUN,2021-05-08,15mg,McKesson Skin Protectant,700
Motion sickness,2020-12-27,25mg,Losartan Potassium and Hydrochlorothiazide,433
Trazodone Hydrochloride,2021-05-17,200mg,Health Mart Naproxen Sodium,724
Veletri,2021-04-01,500mg,Olanzapine,358
Omeprazole,2021-07-23,25mg,Coppertone oil free faces,692
LACTULOSE,2021-11-17,50mg,VivierSkin Sun Protection,192
Crest Sensitivity,2021-08-19,5mg,"Losartan potassium Tablets, 50 mg",436
em michelle phan the everything tinted makeup cc,2021-07-15,500mg,Xyntha,914
Hydrogen Peroxide,2021-06-22,20mg,Didanosine,624
ThatZit Acne Treatment,2021-10-21,500mg,Fluoxetine Hydrochloride,418
Plavix,2021-02-27,50mg,good sense athletes foot,559
Stendra,2021-09-23,10mg,Leucovorin,746
Etomidate,2021-01-02,20mg,Hydroxyzine Hydrochloride,582
Geotrichum candidum,2021-10-08,25mg,EpiPen,143
Bupropion Hydrochloride,2021-04-15,25mg,Articula,324
Absorica,2021-09-09,25mg,Smart Sense pain relief,897
Western Water Hemp,2021-02-24,20mg,LIQUIDAMBAR STYRACIFLUA POLLEN,308
Methylprednisolone,2021-10-27,200mg,BACITRACIN,707
Badger SPF 30 Kids Sunscreen,2021-10-26,25mg,CANTHARIS,377
Betamethasone Valerate,2021-10-13,200mg,Italian Rye Grass,132
Nortriptyline Hydrochloride,2020-12-25,500mg,AMPHADASE,632
Benazepril Hydrochloride,2021-08-06,20mg,morphine sulfate,910
nicotine,2021-03-19,100mg,Gentamicin Sulfate,593
Treatment Set TS348651,2021-03-04,100mg,Trazodone Hydrochloride,638
Benzonatate,2021-06-28,10mg,NHS Rheumatism,104
Quinapril,2021-09-03,20mg,Moisture Therapy,353
Publix UltraDish Detergent Green Apple Scent,2021-06-02,200mg,Levofloxacin,174
IBU,2021-12-02,50mg,Methotrexate Sodium,275
Oxygen,2021-03-06,25mg,Megestrol Acetate,168
TRIAMINIC,2021-07-05,10mg,Colgate Sensitive Multiprotection,127
Equaline Hemorrhoidal,2021-05-16,100mg,Poly Hist PD,620
Icy Hot Back and Large Areas,2021-06-23,500mg,nighttime,224
Pert Plus Dandruff Plus,2021-03-09,10mg,Ciprofloxacin,336
Rheumaforce,2021-09-13,100mg,sinus and allergy,395
oxycodone hydrochloride,2021-01-04,25mg,Instant Hand Sanitizer,362
Prastera,2021-04-19,20mg,Doxazosin,573
Degree,2021-05-23,10mg,PHARMACYS PRESCRIPTION,509
Flurbiprofen,2021-07-07,5mg,INVEGA,332
Clonidine Hydrochloride,2020-12-05,15mg,OXYGEN,925
Captopril,2021-11-21,50mg,PROMETHAZINE HYDROCHLORIDE,255
Amlodipine Besylate and Benazepril Hydrochloride,2021-02-13,50mg,CLARINS BROAD SPECTRUM SPF 30 Sunscreen Care,775
Traumeel Combo Pack,2021-09-26,10mg,CD DIORSKIN NUDE SKIN-GLOWING MAKEUP SUNSCREEN BROAD SPECTRUM SPF 15 011 Cream,959
Argentum Metallicum,2021-11-12,5mg,OHM Endocrine Feminine Terrain,902
Oratox,2021-02-20,15mg,Focalin,676
Leader migraine formula,2021-10-25,25mg,LBEL divine lip gloss SPF 15,445
Daytrana,2021-07-26,10mg,Triple Antibiotic,837
Arnica Montana,2021-01-28,200mg,Alclometasone Dipropionate,959
Etodolac,2021-03-04,25mg,Acetaminophen,150
AHC Revitalizing Special Gen Solution,2021-11-11,20mg,Super Restorative Foundation True Lift SPF 15 Tint 6.5,894
Furosemide,2021-07-10,25mg,Intervene Daily Moisture SPF 15 Oil Free,941
Active 4,2021-09-03,5mg,Atenolol and Chlorthalidone,731
Levemir,2021-06-19,500mg,Carbidopa and levodopa,637
Fentanyl Citrate,2021-02-23,50mg,Dicyclomine Hydrochloride,771
Isopropyl Rubbing Alcohol,2021-04-18,100mg,Cefadroxil,877
AVAPRO,2021-04-30,100mg,Ice External Analgesic,775
Saline Nasal,2021-10-31,500mg,Trichothecium roseum,836
Ray Defense Borad Spectrum SPF 30 sunscreen,2021-08-23,10mg,childrens ibuprofen,557
Horse Epithelium,2021-01-26,500mg,Mixture of Standardized and Non-Standardized Inland Grasses,377
Lyrica,2021-03-21,200mg,Premarin,825
Hydrochlorothiazide,2021-02-19,15mg,Diphenhydramine Hydrochloride,448
Paroxetine,2021-07-12,10mg,Dicloxacillin Sodium,96
Fenofibrate,2021-02-09,200mg,CHRON SINO,742
Denti-Care Denti-Pro,2020-12-26,25mg,MIDAZOLAM HYDROCHLORIDE,981
Brain Blance Core Formula,2021-05-11,10mg,Fluoxetine Hydrochloride,976
HayFever Fighter,2021-02-10,15mg,Felbatol,558
Heartburn Relief,2021-08-01,500mg,POTASSIUM CHLORIDE,269
Tirosint,2021-02-05,50mg,Up and Up Aspirin,876
Daily Cleansing,2021-01-17,200mg,IOPE RETIGEN MOISTURE FOUNDATION,345
TELDRIN,2021-06-11,20mg,Levothyroxine sodium,192
Lidocaine Hydrochloride,2021-02-14,500mg,LANEIGE MYSTIC VEIL FOUNDATION,689
CLE DE PEAU BEAUTE SILKY FOUNDATION I,2021-04-16,20mg,Junior Pain Relief,777
Antiseptic Mouth Rinse,2020-12-28,100mg,Theophylline,631
Pravastatin Sodium,2021-08-21,10mg,Cartilago Quartz,930
LEADER ADVANCED FORMULA,2021-08-17,10mg,Junior Strength Acetaminophen,62
Lidocaine and Prilocaine,2021-06-25,10mg,Toast Always color stay-on Makeup Broad Spectrum SPF 15,34
ARTHROTEC,2021-11-27,500mg,Cetirizine HCl and Pseudoephedrine HCl,526
Levetiracetam,2021-04-13,50mg,Whole Egg,51
Simvastatin,2021-06-24,200mg,Gabapentin,921
Bupropion hydrochloride,2020-12-23,25mg,Potassium Chloride,347
biokera,2021-08-26,20mg,cough syrup,672
Cisplatin,2021-01-27,5mg,Xylocaine,312
Kirkland Signature Lansoprazole Delayed Release,2021-07-24,20mg,Oxygen,58
Meperidine Hydrochloride,2021-11-03,500mg,ANTIBACTERIAL HSOAP,284
Rifampin,2021-06-01,500mg,FungaZoil Advanced,489
fulton street market triple antibiotic,2021-01-24,50mg,Ropinirole Hydrochloride,549
BUSPIRONE HYDROCHLORIDE,2021-09-26,25mg,NeoStrata Ultra Daytime Smoothing,958
OXYGEN,2021-04-13,10mg,Torsemide,915
Cold Spot,2021-02-24,15mg,Oxygen,621
Sorbet APF,2021-06-08,25mg,Dicyclomine,431
Divalproex Sodium,2020-12-29,100mg,Rite Aid,514
Natroba,2021-02-08,15mg,Cocklebur,625
Well at Walgreens,2021-10-16,100mg,Microsporum audouinii,204
Naturals,2021-09-06,100mg,CLOSE UP,299
DIARRHEA,2021-01-09,200mg,Exforge,336
Propylthiouracil,2021-06-27,100mg,Maximum Strength Stay Awake,733
Buspirone HCl,2021-04-21,100mg,GAP Favorite Lip Balm,513
NATRUM MURIATICUM,2020-12-27,100mg,Gas Relief,165
Duloxetine,2021-11-02,200mg,Povidone-Iodine Prep Pad,531
Clear Eyes Maximum Itchy Eye Relief,2021-11-16,50mg,members mark nicotine,857
Visipaque,2021-06-29,5mg,LEMON,241
Calcipotriene and Betamethasone Dipropionate,2020-12-24,25mg,Formaldehyde,105
Abstral,2021-09-30,15mg,Health Mart Ibuprofen IB,280
gas relief,2021-11-17,10mg,Softlips,836
IBUPROFEN,2021-04-21,25mg,BZK Alcohol,554
Remedy with Phytoplex Antifungal Clear,2021-11-16,500mg,nicotine,516
Sinus Congestion and Pain Daytime,2021-03-05,15mg,Arnuity Ellipta,581
Laxative Pills,2021-06-22,200mg,Virginia Live Oak,479
Warfarin Sodium,2021-07-17,500mg,Activella,12
Hydrogen Peroxide,2020-12-15,100mg,White Poplar,798
PediaCare Infants Gas Relief,2021-11-05,25mg,NEW BRAND PERFUMES MENS ROLL ON ANTIPERSPIRANT DEODORANT,423
Glytone Suncare SPF 50,2021-06-13,5mg,ADVANCED CELL BOOSTING EX BB,447
Binosto,2021-04-21,20mg,Quflora Pediatric,856
Docuprene,2021-03-27,5mg,morphine sulfate,982
Sotalol Hydrochloride,2021-06-10,100mg,GIVEN BY NATURE GREEN TEA MASK SHEET,457
VinCRIStine Sulfate,2021-02-18,25mg,Postpartum Issues,31
Doxycycline Monohydrate,2021-08-22,100mg,Care One Pain Relief,420
Caffeic Acid,2020-12-09,50mg,Prednisone,22
Gelato APF,2021-06-28,20mg,flormar Soft Touch Foundation Sunscreen Broad Spectrum SPF 20 ST06 Honey,603
DOCTOR HOYS NATURAL PAIN RELIEF,2021-10-09,200mg,Green MINT Mouth Rinse,588
TOPIRAMATE,2021-05-07,200mg,Acyclovir,826
Premier Value Hemorrhoidal,2021-01-06,15mg,Lorazepam,197
Ropinirole Hydrochloride,2021-02-22,500mg,Barley Grain,39
Number Seven Tree Mixture,2021-02-25,15mg,Ergocalciferol,766
Antibacterial Foamy Mango,2021-10-27,50mg,Nighttime,969
Olanzapine and Fluoxetine,2021-10-15,25mg,RISPERDAL M-TAB,134
Goodsense Extra Strength Cold and Hot medicated,2021-11-09,25mg,Benadryl Allergy Liqui-Gels,738
Sterile Water,2021-01-24,500mg,Diltiazem Hydrochloride,18
Copegus,2021-04-02,10mg,DIPYRIDAMOLE,235
SunDrops 73,2021-11-04,100mg,Equaline Ibuprofen,986
Baclofen,2021-11-18,10mg,Phocal Apf,796
